"DATERECORDED","STATE","POSITIVE","NEGATIVE","TEST_TOTAL","DEATH","DELIVERIES","COST","WEIGHT",
2020-05-11 00:00:00,"VA",25070,125547,151049,850,331,1250855.13,25619,
2020-05-06 00:00:00,"VI",66,990,1093,4,4,852.14,222,
2020-05-07 00:00:00,"VI",66,990,1093,4,4,852.14,222,
2020-05-08 00:00:00,"VI",68,1024,1128,4,15,39404.36,259,
2020-05-09 00:00:00,"VI",68,1024,1128,4,15,39404.36,259,
2020-05-10 00:00:00,"VI",69,1102,1210,4,15,39404.36,259,
2020-05-11 00:00:00,"VI",69,1110,1215,5,15,39404.36,259,
2020-05-06 00:00:00,"VT",908,16968,17876,52,4,1423.4,285,
2020-05-07 00:00:00,"VT",916,17535,18451,53,4,1423.4,285,
2020-05-08 00:00:00,"VT",919,18089,19008,53,13,22833.45,390,
2020-05-09 00:00:00,"VT",921,18606,19527,53,13,22833.45,390,
2020-05-10 00:00:00,"VT",927,19121,20048,53,13,22833.45,390,
2020-05-11 00:00:00,"VT",926,19945,20871,53,13,22833.45,390,
2020-05-06 00:00:00,"WA",15594,203859,219453,862,43,144825.6,9233,
2020-05-07 00:00:00,"WA",15905,208908,224813,870,47,149209,10073,
2020-05-08 00:00:00,"WA",16231,214449,230680,891,134,357317.56,13608,
2020-05-09 00:00:00,"WA",16388,219447,235835,905,134,357317.56,13608,
2020-05-10 00:00:00,"WA",16674,226315,242989,921,134,357317.56,13608,
2020-05-11 00:00:00,"WA",16891,231984,248875,931,134,357317.56,13608,
2020-05-06 00:00:00,"WI",8901,87826,96939,362,22,7335.48,1285,
2020-05-07 00:00:00,"WI",9215,93035,102469,374,28,13910.58,2545,
2020-05-08 00:00:00,"WI",9590,97265,107059,384,164,550042.5,11569,
2020-05-09 00:00:00,"WI",9939,101935,112078,398,164,550042.5,11569,
2020-05-10 00:00:00,"WI",10219,105163,115564,400,164,550042.5,11569,
2020-05-11 00:00:00,"WI",10418,108033,118631,409,166,552232.68,11766,
2020-05-06 00:00:00,"WV",1248,54536,55784,50,15,5584.56,1020,
2020-05-07 00:00:00,"WV",1287,56234,57521,51,21,12159.66,2280,
2020-05-08 00:00:00,"WV",1310,58126,59436,51,136,566092.47,12903,
2020-05-09 00:00:00,"WV",1335,59662,60997,53,136,566092.47,12903,
2020-05-10 00:00:00,"WV",1360,61284,62644,54,136,566092.47,12903,
2020-05-11 00:00:00,"WV",1366,62103,63469,54,139,569692.33,13306,
2020-05-06 00:00:00,"WY",604,11403,12007,7,7,3724.38,545,
2020-05-07 00:00:00,"WY",631,11403,12034,7,7,3724.38,545,
2020-05-08 00:00:00,"WY",635,11403,12038,7,38,43192.4,2060,
2020-05-09 00:00:00,"WY",644,11403,12047,7,38,43192.4,2060,
2020-05-10 00:00:00,"WY",661,11403,12064,7,38,43192.4,2060,
2020-05-11 00:00:00,"WY",662,11403,12065,7,39,44350.4,2176,
