DateRecorded,State,CountyName,Population,Population20Plus,Population65Plus,StaffedAllBeds,StaffedICUBeds,LicensedAllBeds
05/07/2020,FL,Alachua,269956.0,207334.0,37836.0,1620.0,266.0,2059.0
05/07/2020,FL,Baker,28355.0,20970.0,4015.0,81.0,0.0,1163.0
05/07/2020,FL,Bay,185287.0,141881.0,31678.0,706.0,77.0,737.0
05/07/2020,FL,Bradford,27732.0,21791.0,4935.0,25.0,0.0,108.0
05/07/2020,FL,Brevard,596849.0,475765.0,141345.0,1908.0,183.0,2107.0
05/07/2020,FL,Broward,1951260.0,1496930.0,324313.0,5160.0,622.0,7305.0
05/07/2020,FL,Calhoun,14587.0,11370.0,2631.0,15.0,0.0,25.0
05/07/2020,FL,Charlotte,184998.0,160441.0,74394.0,595.0,51.0,767.0
05/07/2020,FL,Citrus,147929.0,123732.0,53705.0,332.0,40.0,332.0
05/07/2020,FL,Clay,216072.0,160790.0,34104.0,459.0,42.0,503.0
05/07/2020,FL,Collier,378488.0,306793.0,121935.0,873.0,73.0,1295.0
05/07/2020,FL,Columbia,70503.0,53519.0,13314.0,456.0,27.0,468.0
05/07/2020,FL,DeSoto,37489.0,29539.0,8317.0,49.0,8.0,49.0
05/07/2020,FL,Duval,950181.0,714001.0,133483.0,3535.0,422.0,4260.0
05/07/2020,FL,Escambia,315534.0,238798.0,53148.0,697.0,73.0,1276.0
05/07/2020,FL,Flagler,112067.0,91151.0,34428.0,99.0,18.0,99.0
05/07/2020,FL,Franklin,11736.0,9676.0,2814.0,25.0,0.0,25.0
05/07/2020,FL,Gadsden,45894.0,34756.0,8197.0,24.0,0.0,1215.0
05/07/2020,FL,Gulf,16164.0,13386.0,3487.0,19.0,0.0,19.0
05/07/2020,FL,Hardee,27245.0,19351.0,4532.0,0.0,0.0,25.0
05/07/2020,FL,Hendry,41556.0,29551.0,5712.0,25.0,3.0,25.0
05/07/2020,FL,Hernando,190865.0,152300.0,52412.0,670.0,44.0,864.0
05/07/2020,FL,Highlands,105424.0,85719.0,37222.0,290.0,38.0,356.0
05/07/2020,FL,Hillsborough,1436888.0,1076123.0,205315.0,4099.0,491.0,4642.0
05/07/2020,FL,Holmes,19477.0,15160.0,3871.0,20.0,0.0,20.0
05/07/2020,FL,Indian River,157413.0,129294.0,52019.0,390.0,24.0,458.0
05/07/2020,FL,Jackson,48305.0,38279.0,9424.0,66.0,7.0,125.0
05/07/2020,FL,Lake,356495.0,281644.0,95109.0,783.0,102.0,961.0
05/07/2020,FL,Lee,754610.0,607220.0,215894.0,1620.0,141.0,2439.0
05/07/2020,FL,Leon,292502.0,221445.0,39155.0,822.0,60.0,1208.0
05/07/2020,FL,Levy,40770.0,32072.0,10103.0,0.0,0.0,40.0
05/07/2020,FL,Madison,18529.0,14688.0,3798.0,0.0,0.0,25.0
